year,month,day,data,median,LB,UB
2008,1,1,3674,3673.5,3673,3674
2008,12,31,3398,3330.90914148488,3176.16111065941,3494.23068755615
2009,12,31,3234,3302.96042149209,3159.35170032701,3441.78118282843
2010,12,31,3175,3250.47452540516,3106.93140527755,3383.34352542507
2011,12,31,3208,3188.21202212898,3053.26169427534,3319.97126776344
2012,12,30,3171,3113.48431663857,2983.92650555246,3253.07763895297
2013,12,30,3114,3037.88811747285,2907.64961666961,3172.88644285817
2014,12,30,2912,2954.0393170936,2823.75725102198,3093.64155786293
2015,12,30,2867,2867.4899902795,2737.35496990859,3003.24167171231
2016,12,29,2757,2775.78817392225,2644.37648819058,2909.16677631746
2017,12,29,2701,2684.73339017907,2549.25569120657,2821.07882241108
2018,12,29,2575,2594.10539615485,2439.96424447072,2730.76835287627
2019,12,29,NaN,2502.97376858713,2320.05508341713,2652.58889397154
2020,12,28,NaN,2414.48749151181,2195.76436502836,2569.00582291404
2021,12,28,NaN,2327.84735588239,2062.76397347239,2497.94344939591
2022,12,28,NaN,2242.51230019377,1928.43956437297,2429.91460053335
2023,12,28,NaN,2161.47565985413,1789.67176927989,2366.5700767195
2024,12,27,NaN,2085.99131429165,1656.44994378222,2293.14611327195
2025,12,27,NaN,2007.89575097249,1530.50455006332,2233.27224322087
2026,12,27,NaN,1930.82696434951,1393.65361092777,2178.78695157966
2027,12,27,NaN,1860.45539971308,1291.21771519507,2122.97903061176
2028,12,26,NaN,1790.3374234055,1189.63911396336,2062.89436913864
2029,12,26,NaN,1724.62174954455,1081.84964323146,2011.30318492451
